county_fips,state_fips,cases,deaths
1001,1000,1928,28.0
1003,1000,6270,66.0
1005,1000,950,9.0
1007,1000,744,13.0
1009,1000,1750,23.0
1011,1000,628,16.0
1013,1000,977,40.0
1015,1000,3922,57.0
1017,1000,1256,43.0
1019,1000,687,14.0
1021,1000,1740,31.0
1023,1000,377,12.0
1025,1000,1229,16.0
1027,1000,667,11.0
1029,1000,483,6.0
1031,1000,1568,7.0
1033,1000,1840,27.0
1035,1000,549,12.0
1037,1000,190,3.0
1039,1000,1585,29.0
1041,1000,574,30.0
1043,1000,2132,21.0
1045,1000,1564,50.0
1047,1000,1837,26.0
1049,1000,2942,24.0
1051,1000,3009,51.0
1053,1000,1687,27.0
1055,1000,3869,46.0
1057,1000,520,10.0
1059,1000,1916,30.0
1061,1000,806,7.0
1063,1000,329,15.0
1065,1000,714,29.0
1067,1000,611,5.0
1069,1000,3537,25.0
1071,1000,1876,13.0
1073,1000,21746,362.0
1075,1000,426,3.0
1077,1000,1950,38.0
1079,1000,748,28.0
1081,1000,6346,64.0
1083,1000,2574,25.0
1085,1000,685,27.0
1087,1000,520,18.0
1089,1000,8678,83.0
1091,1000,910,21.0
1093,1000,1025,29.0
1095,1000,4182,46.0
1097,1000,14056,312.0
1099,1000,615,9.0
1101,1000,9399,194.0
1103,1000,3757,32.0
1105,1000,575,6.0
1107,1000,747,15.0
1109,1000,1284,12.0
1111,1000,761,13.0
1113,1000,1868,3.0
1115,1000,2647,41.0
1117,1000,6804,59.0
1119,1000,459,21.0
1121,1000,2454,33.0
1123,1000,1236,85.0
1125,1000,9651,128.0
1127,1000,2590,91.0
1129,1000,611,12.0
1131,1000,554,11.0
1133,1000,856,13.0
2013,2000,15,0.0
2016,2000,97,0.0
2020,2000,5877,41.0
2050,2000,194,1.0
2060,2000,76,0.0
2068,2000,17,0.0
2070,2000,33,0.0
2090,2000,1683,11.0
2100,2000,12,0.0
2110,2000,418,2.0
2122,2000,713,1.0
2130,2000,73,0.0
2150,2000,85,0.0
2158,2000,24,0.0
2164,2000,5,0.0
2170,2000,779,2.0
2180,2000,111,0.0
2185,2000,184,0.0
2188,2000,198,0.0
2195,2000,11,0.0
2198,2000,31,0.0
2220,2000,70,0.0
2240,2000,47,0.0
2261,2000,141,0.0
2275,2000,19,0.0
2290,2000,96,2.0
4001,4000,3734,166.0
4003,4000,2000,73.0
4005,4000,4563,145.0
4007,4000,1597,61.0
4009,4000,963,26.0
4011,4000,66,2.0
4012,4000,575,16.0
4013,4000,147551,3475.0
4015,4000,4121,228.0
4017,4000,5959,236.0
4019,4000,26632,633.0
4021,4000,11152,213.0
4023,4000,2921,64.0
4025,4000,2738,86.0
4027,4000,13088,348.0
5001,5000,569,11.0
5003,5000,484,12.0
5005,5000,475,5.0
5007,5000,7288,102.0
5009,5000,887,26.0
5011,5000,350,8.0
5013,5000,39,0.0
5015,5000,879,12.0
5017,5000,1018,22.0
5019,5000,429,5.0
5021,5000,384,11.0
5023,5000,395,14.0
5025,5000,196,12.0
5027,5000,619,19.0
5029,5000,314,3.0
5031,5000,3700,32.0
5033,5000,1758,22.0
5035,5000,2077,51.0
5037,5000,515,19.0
5039,5000,177,5.0
5041,5000,348,7.0
5043,5000,380,7.0
5045,5000,2963,27.0
5047,5000,418,2.0
5049,5000,229,8.0
5051,5000,2142,57.0
5053,5000,313,4.0
5055,5000,1122,15.0
5057,5000,469,5.0
5059,5000,2057,30.0
5061,5000,524,12.0
5063,5000,1311,26.0
5065,5000,352,1.0
5067,5000,548,5.0
5069,5000,3802,95.0
5071,5000,917,9.0
5073,5000,139,3.0
5075,5000,613,13.0
5077,5000,1092,18.0
5079,5000,2150,17.0
5081,5000,400,29.0
5083,5000,508,2.0
5085,5000,1449,19.0
5087,5000,399,6.0
5089,5000,120,1.0
5091,5000,1048,13.0
5093,5000,1897,55.0
5095,5000,184,0.0
5097,5000,176,7.0
5099,5000,256,14.0
5101,5000,276,19.0
5103,5000,301,7.0
5105,5000,119,0.0
5107,5000,632,15.0
5109,5000,250,3.0
5111,5000,828,15.0
5113,5000,314,4.0
5115,5000,2419,36.0
5117,5000,181,4.0
5119,5000,10603,186.0
5121,5000,545,23.0
5123,5000,1626,8.0
5125,5000,2465,24.0
5127,5000,129,1.0
5129,5000,167,1.0
5131,5000,4330,81.0
5133,5000,1232,19.0
5135,5000,285,9.0
5137,5000,387,19.0
5139,5000,1024,47.0
5141,5000,190,3.0
5143,5000,10487,127.0
5145,5000,1155,32.0
5147,5000,74,0.0
5149,5000,1294,30.0
6001,6000,22346,442.0
6003,6000,3,0.0
6005,6000,305,16.0
6007,6000,2992,48.0
6009,6000,331,16.0
6011,6000,545,6.0
6013,6000,17783,231.0
6015,6000,170,1.0
6017,6000,1262,4.0
6019,6000,29579,424.0
6021,6000,629,3.0
6023,6000,534,8.0
6025,6000,12334,334.0
6027,6000,207,15.0
6029,6000,33145,406.0
6031,6000,8111,82.0
6033,6000,639,14.0
