county_fips,state_fips,never,rarely,sometimes,frequently,always
1001,1000,5.3%,7.4%,13.4%,29.5%,44.4%
1003,1000,8.3%,5.9%,9.8%,32.3%,43.6%
1005,1000,6.7%,12.1%,12.0%,20.1%,49.1%
1007,1000,2.0%,3.4%,9.6%,27.8%,57.2%
1009,1000,5.3%,11.4%,18.0%,19.4%,45.9%
1011,1000,3.1%,4.0%,14.4%,28.6%,50.0%
1013,1000,10.2%,5.3%,25.7%,13.7%,45.1%
1015,1000,15.2%,10.8%,13.0%,16.7%,44.2%
1017,1000,11.7%,3.7%,15.0%,13.6%,56.0%
1019,1000,13.5%,2.7%,16.1%,15.8%,52.0%
1021,1000,6.0%,7.0%,5.8%,19.4%,61.8%
1023,1000,4.9%,3.8%,12.6%,21.9%,56.8%
1025,1000,4.9%,8.8%,16.4%,26.8%,43.0%
1027,1000,14.8%,15.8%,19.5%,16.9%,32.9%
1029,1000,15.1%,12.5%,13.8%,21.7%,36.8%
1031,1000,10.1%,15.2%,9.4%,18.6%,46.6%
1033,1000,8.2%,9.6%,15.2%,15.9%,51.0%
1035,1000,9.9%,5.2%,25.9%,19.2%,39.9%
1037,1000,5.5%,13.1%,16.7%,26.3%,38.4%
1039,1000,18.7%,12.8%,12.9%,20.1%,35.6%
1041,1000,6.0%,9.1%,19.9%,23.3%,41.6%
1043,1000,13.0%,2.4%,24.9%,21.7%,37.9%
1045,1000,8.9%,11.3%,11.8%,22.0%,46.0%
1047,1000,9.5%,10.0%,15.9%,12.2%,52.4%
1049,1000,8.4%,5.1%,10.6%,17.9%,58.0%
1051,1000,4.2%,9.5%,12.7%,25.2%,48.5%
1053,1000,11.4%,2.6%,18.8%,28.5%,38.7%
1055,1000,9.6%,10.3%,17.8%,12.2%,50.1%
1057,1000,13.8%,4.8%,15.1%,23.3%,42.9%
1059,1000,6.5%,7.1%,22.3%,15.6%,48.4%
1061,1000,17.6%,13.1%,8.9%,15.8%,44.5%
1063,1000,3.0%,5.3%,12.7%,16.7%,62.3%
1065,1000,2.6%,6.1%,8.4%,19.1%,63.9%
1067,1000,6.6%,6.8%,17.0%,25.8%,43.8%
1069,1000,8.5%,7.9%,13.5%,26.8%,43.3%
1071,1000,9.2%,8.9%,11.0%,24.9%,46.0%
1073,1000,4.9%,3.7%,10.7%,17.9%,62.8%
1075,1000,10.7%,4.5%,13.2%,18.9%,52.7%
1077,1000,9.3%,11.9%,14.1%,17.9%,46.9%
1079,1000,16.2%,8.0%,8.8%,25.1%,41.9%
1081,1000,5.3%,6.4%,13.8%,18.3%,56.2%
1083,1000,10.2%,3.4%,13.3%,33.6%,39.5%
1085,1000,12.0%,7.3%,14.5%,19.9%,46.4%
1087,1000,0.8%,3.3%,24.1%,17.2%,54.5%
1089,1000,6.2%,5.0%,12.3%,17.7%,58.9%
1091,1000,3.3%,15.1%,11.8%,18.6%,51.2%
1093,1000,12.9%,6.4%,24.6%,20.7%,35.3%
1095,1000,7.5%,6.4%,12.9%,25.3%,47.9%
1097,1000,7.7%,7.0%,10.2%,24.4%,50.6%
1099,1000,11.2%,4.1%,18.2%,28.8%,37.8%
1101,1000,5.6%,9.5%,12.3%,21.2%,51.3%
1103,1000,7.8%,7.7%,8.2%,30.4%,45.9%
1105,1000,2.5%,8.4%,8.7%,18.7%,61.8%
1107,1000,3.1%,6.0%,16.9%,15.7%,58.4%
1109,1000,6.0%,13.1%,14.5%,33.3%,33.0%
1111,1000,15.8%,22.6%,10.5%,14.4%,36.8%
1113,1000,6.9%,6.7%,8.0%,21.3%,57.0%
1115,1000,2.7%,13.4%,14.4%,20.0%,49.5%
1117,1000,2.2%,7.5%,11.8%,24.0%,54.5%
1119,1000,5.5%,6.8%,11.8%,19.7%,56.2%
1121,1000,11.3%,15.0%,20.8%,16.9%,36.1%
1123,1000,6.7%,9.5%,13.6%,29.6%,40.6%
1125,1000,4.1%,3.6%,14.4%,24.7%,53.2%
1127,1000,9.0%,8.1%,14.5%,25.6%,42.9%
1129,1000,1.8%,7.7%,10.2%,30.7%,49.5%
1131,1000,6.1%,9.8%,19.9%,18.7%,45.5%
1133,1000,13.0%,4.6%,32.8%,18.3%,31.2%
2013,2000,6.7%,3.2%,3.4%,31.6%,55.1%
2016,2000,7.8%,3.1%,3.0%,33.7%,52.4%
2020,2000,4.2%,5.0%,4.9%,19.6%,66.3%
2050,2000,10.1%,2.2%,1.4%,45.0%,41.3%
2060,2000,4.8%,3.7%,4.2%,30.8%,56.4%
2068,2000,6.2%,8.1%,6.7%,22.5%,56.5%
2070,2000,7.2%,2.5%,2.7%,39.1%,48.4%
2090,2000,9.4%,8.4%,17.5%,23.4%,41.3%
2100,2000,5.5%,5.0%,12.3%,41.9%,35.2%
2105,2000,5.1%,6.4%,13.0%,39.9%,35.6%
2110,2000,5.1%,6.7%,13.3%,39.6%,35.3%
2122,2000,4.3%,4.7%,5.1%,19.7%,66.2%
2130,2000,2.5%,14.9%,17.4%,25.6%,39.6%
2150,2000,4.2%,4.3%,4.9%,23.3%,63.3%
2158,2000,10.3%,2.2%,0.7%,52.1%,34.7%
2164,2000,5.5%,3.6%,4.0%,29.9%,57.1%
2170,2000,4.2%,5.1%,4.8%,19.8%,66.0%
2180,2000,8.6%,6.1%,0.9%,54.4%,30.0%
2185,2000,3.6%,5.9%,23.5%,21.5%,45.5%
2188,2000,3.5%,18.8%,5.1%,47.4%,25.2%
2195,2000,4.2%,9.5%,14.8%,34.9%,36.5%
2198,2000,3.3%,12.5%,16.1%,30.0%,38.0%
2220,2000,4.8%,7.7%,13.7%,38.1%,35.7%
2230,2000,5.8%,3.8%,11.6%,43.5%,35.4%
2240,2000,6.4%,7.1%,14.0%,27.2%,45.3%
2261,2000,4.0%,4.9%,5.2%,19.7%,66.3%
2275,2000,3.5%,11.9%,16.0%,31.2%,37.4%
2282,2000,4.7%,1.2%,7.8%,38.1%,48.1%
2290,2000,4.4%,4.7%,12.6%,42.5%,35.8%
4001,4000,5.5%,6.3%,3.1%,15.0%,70.1%
4003,4000,5.3%,2.5%,14.7%,19.4%,58.1%
4005,4000,3.9%,8.0%,7.0%,11.0%,70.2%
4007,4000,7.3%,1.4%,3.0%,33.6%,54.7%
4009,4000,9.5%,6.7%,23.7%,4.9%,55.3%
4011,4000,11.1%,8.9%,16.7%,8.9%,54.4%
4012,4000,3.1%,6.4%,16.2%,17.3%,57.0%
4013,4000,2.3%,2.5%,5.9%,15.8%,73.4%
4015,4000,5.1%,9.6%,10.4%,16.4%,58.5%
4017,4000,9.1%,10.8%,5.9%,13.9%,60.2%
4019,4000,2.3%,2.4%,7.3%,12.1%,75.9%
4021,4000,3.3%,5.5%,9.6%,14.8%,66.7%
4023,4000,2.8%,0.2%,5.8%,7.4%,83.7%
4025,4000,3.1%,7.3%,8.1%,17.6%,63.9%
4027,4000,0.8%,1.3%,4.6%,12.9%,80.4%
5001,5000,1.9%,7.3%,13.4%,21.6%,55.7%
5003,5000,2.3%,10.3%,16.3%,11.7%,59.5%
5005,5000,15.0%,10.4%,10.8%,10.4%,53.4%
5007,5000,8.1%,3.4%,8.3%,16.0%,64.3%
5009,5000,12.9%,14.5%,12.2%,18.9%,41.6%
5011,5000,9.4%,10.2%,17.5%,18.4%,44.5%
5013,5000,14.5%,13.2%,10.8%,21.1%,40.4%
