county_fips,state_fips,2019_population
1001,1000,"55,869"
1003,1000,"223,234"
1005,1000,"24,686"
1007,1000,"22,394"
1009,1000,"57,826"
1011,1000,"10,101"
1013,1000,"19,448"
1015,1000,"113,605"
1017,1000,"33,254"
1019,1000,"26,196"
1021,1000,"44,428"
1023,1000,"12,589"
1025,1000,"23,622"
1027,1000,"13,235"
1029,1000,"14,910"
1031,1000,"52,342"
1033,1000,"55,241"
1035,1000,"12,067"
1037,1000,"10,663"
1039,1000,"37,049"
1041,1000,"13,772"
1043,1000,"83,768"
1045,1000,"49,172"
1047,1000,"37,196"
1049,1000,"71,513"
1051,1000,"81,209"
1053,1000,"36,633"
1055,1000,"102,268"
1057,1000,"16,302"
1059,1000,"31,362"
1061,1000,"26,271"
1063,1000,"8,111"
1065,1000,"14,651"
1067,1000,"17,205"
1069,1000,"105,882"
1071,1000,"51,626"
1073,1000,"658,573"
1075,1000,"13,805"
1077,1000,"92,729"
1079,1000,"32,924"
1081,1000,"164,542"
1083,1000,"98,915"
1085,1000,"9,726"
1087,1000,"18,068"
1089,1000,"372,909"
1091,1000,"18,863"
1093,1000,"29,709"
1095,1000,"96,774"
1097,1000,"413,210"
1099,1000,"20,733"
1101,1000,"226,486"
1103,1000,"119,679"
1105,1000,"8,923"
1107,1000,"19,930"
1109,1000,"33,114"
1111,1000,"22,722"
1113,1000,"57,961"
1115,1000,"89,512"
1117,1000,"217,702"
1119,1000,"12,427"
1121,1000,"79,978"
1123,1000,"40,367"
1125,1000,"209,355"
1127,1000,"63,521"
1129,1000,"16,326"
1131,1000,"10,373"
1133,1000,"23,629"
2013,2000,"3,337"
2016,2000,"5,634"
2020,2000,"288,000"
2050,2000,"18,386"
2060,2000,836
2068,2000,"2,097"
2070,2000,"4,916"
2090,2000,"96,849"
2100,2000,"2,530"
2105,2000,"2,148"
2110,2000,"31,974"
2122,2000,"58,708"
2130,2000,"13,901"
2150,2000,"12,998"
2158,2000,"8,314"
2164,2000,"1,592"
2170,2000,"108,317"
2180,2000,"10,004"
2185,2000,"9,832"
2188,2000,"7,621"
2195,2000,"3,266"
2198,2000,"6,203"
2220,2000,"8,493"
2230,2000,"1,183"
2240,2000,"6,893"
2261,2000,"9,202"
2275,2000,"2,502"
2282,2000,579
2290,2000,"5,230"
4001,4000,"71,887"
4003,4000,"125,922"
4005,4000,"143,476"
4007,4000,"54,018"
4009,4000,"38,837"
4011,4000,"9,498"
4012,4000,"21,108"
4013,4000,"4,485,414"
4015,4000,"212,181"
4017,4000,"110,924"
4019,4000,"1,047,279"
4021,4000,"462,789"
4023,4000,"46,498"
4025,4000,"235,099"
4027,4000,"213,787"
5001,5000,"17,486"
5003,5000,"19,657"
5005,5000,"41,932"
5007,5000,"279,141"
5009,5000,"37,432"
5011,5000,"10,763"
5013,5000,"5,189"
5015,5000,"28,380"
5017,5000,"10,118"
5019,5000,"22,320"
5021,5000,"14,551"
5023,5000,"24,919"
5025,5000,"7,956"
5027,5000,"23,457"
5029,5000,"20,846"
5031,5000,"110,332"
5033,5000,"63,257"
5035,5000,"47,955"
5037,5000,"16,419"
5039,5000,"7,009"
5041,5000,"11,361"
5043,5000,"18,219"
5045,5000,"126,007"
5047,5000,"17,715"
5049,5000,"12,477"
5051,5000,"99,386"
5053,5000,"18,265"
5055,5000,"45,325"
5057,5000,"21,532"
5059,5000,"33,771"
5061,5000,"13,202"
5063,5000,"37,825"
5065,5000,"13,629"
5067,5000,"16,719"
5069,5000,"66,824"
5071,5000,"26,578"
5073,5000,"6,624"
5075,5000,"16,406"
5077,5000,"8,857"
5079,5000,"13,024"
5081,5000,"12,259"
5083,5000,"21,466"
5085,5000,"73,309"
5087,5000,"16,576"
5089,5000,"16,694"
5091,5000,"43,257"
5093,5000,"40,651"
5095,5000,"6,701"
5097,5000,"8,986"
5099,5000,"8,252"
5101,5000,"7,753"
5103,5000,"23,382"
5105,5000,"10,455"
5107,5000,"17,782"
5109,5000,"10,718"
5111,5000,"23,528"
5113,5000,"19,964"
5115,5000,"64,072"
5117,5000,"8,062"
5119,5000,"391,911"
5121,5000,"17,958"
5123,5000,"24,994"
5125,5000,"122,437"
5127,5000,"10,281"
5129,5000,"7,881"
5131,5000,"127,827"
5133,5000,"17,007"
5135,5000,"17,442"
5137,5000,"12,506"
5139,5000,"38,682"
5141,5000,"16,545"
5143,5000,"239,187"
5145,5000,"78,753"
5147,5000,"6,320"
5149,5000,"21,341"
6001,6000,"1,671,329"
6003,6000,"1,129"
6005,6000,"39,752"
6007,6000,"219,186"
6009,6000,"45,905"
6011,6000,"21,547"
6013,6000,"1,153,526"
6015,6000,"27,812"
6017,6000,"192,843"
6019,6000,"999,101"
6021,6000,"28,393"
6023,6000,"135,558"
6025,6000,"181,215"
6027,6000,"18,039"
6029,6000,"900,202"
6031,6000,"152,940"
6033,6000,"64,386"
6035,6000,"30,573"
6037,6000,"10,039,107"
6039,6000,"157,327"
6041,6000,"258,826"
6043,6000,"17,203"
6045,6000,"86,749"
6047,6000,"277,680"
6049,6000,"8,841"
6051,6000,"14,444"
6053,6000,"434,061"
6055,6000,"137,744"
6057,6000,"99,755"
6059,6000,"3,175,692"
6061,6000,"398,329"
6063,6000,"18,807"
6065,6000,"2,470,546"
6067,6000,"1,552,058"
6069,6000,"62,808"
6071,6000,"2,180,085"
6073,6000,"3,338,330"
6075,6000,"881,549"
6077,6000,"762,148"
6079,6000,"283,111"
6081,6000,"766,573"
6083,6000,"446,499"
6085,6000,"1,927,852"
6087,6000,"273,213"
6089,6000,"180,080"
6091,6000,"3,005"
6093,6000,"43,539"
6095,6000,"447,643"
6097,6000,"494,336"
6099,6000,"550,660"
6101,6000,"96,971"
6103,6000,"65,084"
6105,6000,"12,285"
6107,6000,"466,195"
6109,6000,"54,478"
6111,6000,"846,006"
6113,6000,"220,500"
6115,6000,"78,668"
8001,8000,"517,421"
8003,8000,"16,233"
8005,8000,"656,590"
8007,8000,"14,029"
8009,8000,"3,581"
8011,8000,"5,577"
8013,8000,"326,196"
8014,8000,"70,465"
8015,8000,"20,356"
8017,8000,"1,831"
8019,8000,"9,700"
8021,8000,"8,205"
8023,8000,"3,887"
8025,8000,"6,061"
8027,8000,"5,068"
8029,8000,"31,162"
8031,8000,"727,211"
8033,8000,"2,055"
8035,8000,"351,154"
8037,8000,"55,127"
8039,8000,"26,729"
8041,8000,"720,403"
8043,8000,"47,839"
8045,8000,"60,061"
8047,8000,"6,243"
8049,8000,"15,734"
8051,8000,"17,462"
8053,8000,820
8055,8000,"6,897"
8057,8000,"1,392"
8059,8000,"582,881"
8061,8000,"1,406"
8063,8000,"7,097"
8065,8000,"8,127"
8067,8000,"56,221"
8069,8000,"356,899"
8071,8000,"14,506"
8073,8000,"5,701"
8075,8000,"22,409"
8077,8000,"154,210"
8079,8000,769
8081,8000,"13,283"
8083,8000,"26,183"
8085,8000,"42,758"
8087,8000,"29,068"
8089,8000,"18,278"
8091,8000,"4,952"
8093,8000,"18,845"
8095,8000,"4,265"
8097,8000,"17,767"
8099,8000,"12,172"
8101,8000,"168,424"
8103,8000,"6,324"
8105,8000,"11,267"
8107,8000,"25,638"
8109,8000,"6,824"
8111,8000,728
8113,8000,"8,179"
8115,8000,"2,248"
8117,8000,"31,011"
8119,8000,"25,388"
8121,8000,"4,908"
8123,8000,"324,492"
8125,8000,"10,019"
9001,9000,"943,332"
9003,9000,"891,720"
9005,9000,"180,333"
9007,9000,"162,436"
9009,9000,"854,757"
9011,9000,"265,206"
9013,9000,"150,721"
9015,9000,"116,782"
10001,10000,"180,786"
10003,10000,"558,753"
10005,10000,"234,225"
11001,11000,"705,749"
12001,12000,"269,043"
12003,12000,"29,210"
12005,12000,"174,705"
12007,12000,"28,201"
12009,12000,"601,942"
12011,12000,"1,952,778"
12013,12000,"14,105"
12015,12000,"188,910"
12017,12000,"149,657"
12019,12000,"219,252"
12021,12000,"384,902"
12023,12000,"71,686"
12027,12000,"38,001"
12029,12000,"16,826"
12031,12000,"957,755"
12033,12000,"318,316"
12035,12000,"115,081"
12037,12000,"12,125"
